mes,tur
01/09/1984,2793795
01/10/1984,1436010
01/11/1984,272955
01/12/1984,914372
01/01/1985,1307856
01/02/1985,1612241
01/03/1985,1658246
01/04/1985,1344756
01/05/1985,1063786
01/06/1985,1600603
01/07/1985,3000220
01/08/1985,4384982
01/09/1985,2759526
01/10/1985,1557965
01/11/1985,249186
01/12/1985,931560
01/01/1986,1414435
01/02/1986,1687167
01/03/1986,2440080
01/04/1986,918230
01/05/1986,1356884
01/06/1986,1398014
01/07/1986,3190424
01/08/1986,4760615
01/09/1986,2950040
01/10/1986,1763890
01/11/1986,246026
01/12/1986,992388
01/01/1987,1467305
01/02/1987,1685134
01/03/1987,1853581
01/04/1987,1632305
01/05/1987,1142797
01/06/1987,1856032
01/07/1987,3332019
01/08/1987,4689131
01/09/1987,2946054
01/10/1987,1875085
01/11/1987,267532
01/12/1987,951716
01/01/1988,1429644
01/02/1988,1971204
01/03/1988,2266272
01/04/1988,1316202
01/05/1988,1243817
01/06/1988,1575075
01/07/1988,3591493
01/08/1988,4921085
01/09/1988,3003190
01/10/1988,1895478
01/11/1988,294577
01/12/1988,844083
01/01/1989,1338232
01/02/1989,1389646
01/03/1989,2408416
01/04/1989,859711
01/05/1989,1501262
01/06/1989,1446179
01/07/1989,3653623
01/08/1989,4937582
01/09/1989,3051774
01/10/1989,1852180
01/11/1989,337523
01/12/1989,920563
01/01/1990,1259192
01/02/1990,1620339
01/03/1990,1555111
01/04/1990,1410486
01/05/1990,1076971
01/06/1990,1682323
01/07/1990,3375116
01/08/1990,4944192
01/09/1990,2957934
01/10/1990,1885892
01/11/1990,357768
01/12/1990,1041822
01/01/1991,1504806
01/02/1991,1943477
01/03/1991,2324499
01/04/1991,1111058
01/05/1991,1401540
01/06/1991,1482430
01/07/1991,3536704
01/08/1991,5157234
01/09/1991,3026551
01/10/1991,1926358
01/11/1991,329251
01/12/1991,1096952
01/01/1992,1662846
01/02/1992,1981856
01/03/1992,1686810
01/04/1992,1346582
01/05/1992,1158924
01/06/1992,1602026
01/07/1992,3358935
01/08/1992,4934852
01/09/1992,2836332
01/10/1992,1645696
01/11/1992,287873
01/12/1992,1139796
01/01/1993,1859308
01/02/1993,1951056
01/03/1993,1455876
01/04/1993,1403890
01/05/1993,1154006
01/06/1993,1551181
01/07/1993,3388746
01/08/1993,4955081
01/09/1993,2804597
01/10/1993,1505723
01/11/1993,311196
01/12/1993,1066730
01/01/1994,2092016
01/02/1994,2089022
01/03/1994,2028810
01/04/1994,1245043
01/05/1994,1362741
01/06/1994,1562785
01/07/1994,3552715
01/08/1994,5030227
01/09/1994,2838264
01/10/1994,1697130
01/11/1994,331461
01/12/1994,997710
01/01/1995,2059103
01/02/1995,2189187
01/03/1995,1730337
01/04/1995,1612746
01/05/1995,1307814
01/06/1995,1932594
01/07/1995,3656258
01/08/1995,5133405
01/09/1995,2990144
01/10/1995,1943343
01/11/1995,351143
01/12/1995,1105700
01/01/1996,2102060
01/02/1996,2418882
01/03/1996,2120425
01/04/1996,1467386
01/05/1996,1344109
01/06/1996,1707380
01/07/1996,3475509
01/08/1996,4647920
01/09/1996,2739580
01/10/1996,1837746
01/11/1996,304255
01/12/1996,1108066
01/01/1997,1983843
01/02/1997,2230554
01/03/1997,2295715
01/04/1997,979095
01/05/1997,1364806
01/06/1997,1408200
01/07/1997,2939044
01/08/1997,4409714
01/09/1997,2555363
01/10/1997,1734189
01/11/1997,261770
01/12/1997,1181303
01/01/1998,2040972
01/02/1998,2227396
01/03/1998,1588423
01/04/1998,1388613
01/05/1998,1171752
01/06/1998,1555193
01/07/1998,2871412
01/08/1998,4658316
01/09/1998,2605902
01/10/1998,1618986
01/11/1998,310793
01/12/1998,1225781
01/01/1999,2122293
01/02/1999,2224419
01/03/1999,1621361
01/04/1999,1209737
01/05/1999,1219733
01/06/1999,1569976
01/07/1999,3029562
01/08/1999,4573157
01/09/1999,2555295
01/10/1999,1688070
01/11/1999,350033
01/12/1999,1168494
01/01/2000,2156434
01/02/2000,2026758
01/03/2000,1699310
01/04/2000,1260993
01/05/2000,1072215
01/06/2000,1725501
01/07/2000,3183640
01/08/2000,4495748
01/09/2000,2681759
01/10/2000,1673741
01/11/2000,333653
01/12/2000,1339947
01/01/2001,2190302
01/02/2001,2371286
01/03/2001,1726039
01/04/2001,1364058
01/05/2001,1132523
01/06/2001,1786353
01/07/2001,3243703
01/08/2001,4649517
01/09/2001,2686942
01/10/2001,1769716
01/11/2001,404071
01/12/2001,1374560
01/01/2002,2043969
01/02/2002,2343736
01/03/2002,2125955
01/04/2002,1046518
01/05/2002,1441226
01/06/2002,1788352
01/07/2002,3334242
01/08/2002,4782843
01/09/2002,2713737
01/10/2002,1876586
01/11/2002,379143
01/12/2002,1431957
01/01/2003,2232226
01/02/2003,2290821
01/03/2003,2020688
01/04/2003,1361887
01/05/2003,1272889
01/06/2003,1986212
01/07/2003,3221663
01/08/2003,4948654
01/09/2003,2678908
01/10/2003,1737742
01/11/2003,342835
01/12/2003,1582083
01/01/2004,2361181
01/02/2004,2632260
01/03/2004,1852861
01/04/2004,1400954
01/05/2004,1302227
01/06/2004,1853559
01/07/2004,3260741
01/08/2004,4840551
01/09/2004,2693822
01/10/2004,1675884
01/11/2004,386912
01/12/2004,1437242
01/01/2005,2587232
01/02/2005,2479630
01/03/2005,2478506
01/04/2005,822594
01/05/2005,1442612
01/06/2005,1729270
01/07/2005,3343849
01/08/2005,4898335
01/09/2005,2693448
01/10/2005,1723617
01/11/2005,386561
01/12/2005,1565170
01/01/2006,2460839
01/02/2006,2378358
01/03/2006,2042382
01/04/2006,1378291
01/05/2006,1269849
01/06/2006,2026289
01/07/2006,3433792
01/08/2006,4779984
01/09/2006,2782717
01/10/2006,1787040
01/11/2006,401659
01/12/2006,1676857
01/01/2007,2401139
01/02/2007,2631924
01/03/2007,1958537
01/04/2007,1481328
01/05/2007,1309540
01/06/2007,2074936
01/07/2007,3711420
01/08/2007,4846667
01/09/2007,2855309
01/10/2007,1796926
01/11/2007,464568
01/12/2007,1778341
01/01/2008,2541917
01/02/2008,2835251
01/03/2008,2650594
01/04/2008,863864
01/05/2008,1558079
01/06/2008,1864418
01/07/2008,3793608
01/08/2008,4781270
01/09/2008,2697299
01/10/2008,1769983
01/11/2008,443068
01/12/2008,1921938
01/01/2009,2592613
01/02/2009,2668847
01/03/2009,1908839
01/04/2009,1470601
01/05/2009,1347086
01/06/2009,2046234
01/07/2009,3848246
01/08/2009,5113983
01/09/2009,2794130
01/10/2009,1861581
01/11/2009,420445
01/12/2009,2014102
01/01/2010,2596060
01/02/2010,2663839
01/03/2010,2173656
01/04/2010,1365478
01/05/2010,1474283
01/06/2010,2038271
01/07/2010,3955678
01/08/2010,5235594
01/09/2010,2878403
01/10/2010,1868378
01/11/2010,454303
01/12/2010,1876548
01/01/2011,2734198
01/02/2011,2364697
01/03/2011,2307519
01/04/2011,1324142
01/05/2011,1223917
01/06/2011,2389252
